date,code,name,p_close,open,high,low,close,volume,売買代金,値幅制限,時価総額_百万円,発行済株式数,配当利回り,配当,per,pbr,eps,bps,最低購入代金,単元株数,年初来高値,年初来安値,信用買残,信用買残前週比,信用売残,信用売残前週比,貸借倍率,get
05/14,9422,コネクシオ(株),"1,421","1,438","1,449","1,435","1,438","39,200","56,490","1,121～1,721","64,333","44,737,938",4.87,70.00,9.75,1.26,147.53,"1,143.13","143,800",100,"1,511","1,323","53,700","+6,300","18,700",-100,2.87,2021/05/16 15:59:20
05/14,9423,(株)ＦＲＳ,99,100,102,99,101,"133,600","13,490",69～129,"2,393","23,689,800",1.78,1.80,37.27,6.35,2.53,16.77,"10,100",100,109,96,"691,100","+35,300",100,0,"6,911.00",2021/05/16 15:59:16
05/14,9424,日本通信(株),214,215,221,211,217,"3,693,100","796,809",134～294,"35,644","164,258,239",0.00,0.00,(,(,),),),用語,),),"16,630,300","-333,500","4,393,900","+292,600",3.78,2021/05/16 15:58:58
05/14,9425,日本テレホン(株),371,366,379,366,376,"8,600","3,210",291～451,"1,282","3,409,000",0.00,0.00,22.10,1.90,17.01,197.63,"37,600",100,457,318,"298,800","-162,600",0,0,0.00,2021/05/16 15:58:38
05/14,9428,(株)クロップス,866,875,922,874,908,"11,900","10,796","716～1,016","8,714","9,597,400",1.87,17.00,9.89,1.03,112.10,883.23,"90,800",100,939,737,"14,200","+4,600","6,000",-900,2.37,2021/05/16 15:58:35
05/14,9432,日本電信電話(株),"2,849","2,880.5","2,913","2,860.5","2,905","6,190,900","17,915,344","2,349～3,349","11,331,792","3,900,788,940",3.79,110.00,9.70,1.39,299.56,"2,087.98","290,500",100,"3,018","2,613","2,669,700","+225,300","345,800","-19,600",7.72,2021/05/16 15:58:34
05/14,9433,ＫＤＤＩ(株),"3,378","3,445","3,542","3,418","3,532","7,424,800","25,973,768","2,678～4,078","8,138,362","2,304,179,550",3.40,120.00,12.67,1.74,287.86,"2,091.82","353,200",100,"3,673","3,021","585,000",+500,"307,800","-42,300",1.90,2021/05/16 15:58:32
05/14,9434,ソフトバンク(株),"1,403","1,415","1,431","1,413","1,430.5","8,262,100","11,753,346","1,103～1,703","6,848,011","4,787,145,170",6.01,86.00,13.41,4.43,106.69,322.68,"143,050",100,"1,502","1,294","6,817,200","+1,021,200","1,070,500","-52,000",6.37,2021/05/16 15:58:31
05/14,9435,(株)光通信,"21,240","21,740","22,050","21,740","21,830","132,700","2,904,198","16,240～26,240","1,016,179","46,549,642",2.09,456.00,18.90,2.83,"1,274.98","8,574.93","2,183,000",100,"24,780","19,230","172,000","+3,100","9,300",-500,18.49,2021/05/16 15:58:30
05/14,9436,沖縄セルラー電話(株),"4,950","4,950","4,965","4,925","4,950","38,200","188,811","4,250～5,650","135,343","27,342,000",3.31,164.00,13.30,1.46,372.14,"3,387.71","495,000",100,"5,360","4,460","27,200","+2,900","2,000",+100,13.60,2021/05/16 15:58:28
