,Code,StockName,Date,Open,High,Low,Close,Volume,AdjClose
1810,6089,(株)ウィルグループ,2015-08-27,分割: 1株 -> 2株,,,,,
1811,6089,(株)ウィルグループ,2016-11-28,分割: 1株 -> 2株,,,,,
1812,6093,(株)エスクロー・エージェント・ジャパン,2015-08-27,分割: 1株 -> 5株,,,,,
1813,6093,(株)エスクロー・エージェント・ジャパン,2016-11-28,分割: 1株 -> 2株,,,,,
1814,6094,(株)フリークアウト・ホールディングス,2016-08-29,分割: 1株 -> 2株,,,,,
1815,6095,メドピア(株),2014-09-26,分割: 1株 -> 5株,,,,,
1816,6098,(株)リクルートホールディングス,2017-06-28,分割: 1株 -> 3株,,,,,
1817,6099,(株)エラン,2015-06-26,分割: 1株 -> 2株,,,,,
1818,6099,(株)エラン,2017-09-27,分割: 1株 -> 2株,,,,,
1819,6103,オークマ(株),2017-09-27,分割: 1株 -> 0.2株,,,,,
1820,6121,(株)滝澤鉄工所,2017-09-27,分割: 1株 -> 0.1株,,,,,
1821,6125,(株)岡本工作機械製作所,2017-09-27,分割: 1株 -> 0.1株,,,,,
1822,6137,小池酸素工業(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1823,6138,ダイジェット工業(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1824,6146,(株)ディスコ,2000-03-28,分割: 1株 -> 1.5株,,,,,
1825,6156,(株)エーワン精密,2004-06-25,分割: 1株 -> 3株,,,,,
1826,6156,(株)エーワン精密,2012-06-27,分割: 1株 -> 100株,,,,,
1827,6156,(株)エーワン精密,2015-12-28,分割: 1株 -> 2株,,,,,
1828,6157,日進工具(株),2005-03-28,分割: 1株 -> 2株,,,,,
1829,6157,日進工具(株),2012-09-26,分割: 1株 -> 2株,,,,,
1830,6157,日進工具(株),2014-09-26,分割: 1株 -> 2株,,,,,
1831,6157,日進工具(株),2016-12-28,分割: 1株 -> 2株,,,,,
1832,6159,ミクロン精密(株),2017-08-29,分割: 1株 -> 3株,,,,,
1833,6161,(株)エスティック,2013-09-18,分割: 1株 -> 100株,,,,,
1834,6161,(株)エスティック,2016-12-16,分割: 1株 -> 2株,,,,,
1835,6171,(株)土木管理総合試験所,2016-03-29,分割: 1株 -> 2株,,,,,
1836,6171,(株)土木管理総合試験所,2017-09-27,分割: 1株 -> 2株,,,,,
1837,6181,(株)パートナーエージェント,2016-12-28,分割: 1株 -> 3株,,,,,
1838,6182,(株)ロゼッタ,2015-12-28,分割: 1株 -> 2株,,,,,
1839,6182,(株)ロゼッタ,2016-08-29,分割: 1株 -> 2株,,,,,
1840,6184,(株)鎌倉新書,2016-09-28,分割: 1株 -> 4株,,,,,
1841,6187,(株)ＬＩＴＡＬＩＣＯ,2016-09-01,分割: 1株 -> 2株,,,,,
1842,6191,(株)エボラブルアジア,2016-07-27,分割: 1株 -> 3株,,,,,
1843,6192,ハイアス・アンド・カンパニー(株),2017-04-26,分割: 1株 -> 3株,,,,,
1844,6194,(株)アトラエ,2017-03-29,分割: 1株 -> 3株,,,,,
1845,6196,(株)ストライク,2016-11-28,分割: 1株 -> 3株,,,,,
1846,6198,(株)キャリア,2017-03-29,分割: 1株 -> 2株,,,,,
1847,6199,(株)セラク,2017-02-24,分割: 1株 -> 4株,,,,,
1848,6203,豊和工業(株),2013-07-29,分割: 1株 -> 0.1株,,,,,
1849,6205,ＯＫＫ(株),2017-09-27,分割: 1株 -> 0.1株,,,,,
1850,6208,(株)石川製作所,2016-09-28,分割: 1株 -> 0.1株,,,,,
1851,6238,フリュー(株),2017-02-24,分割: 1株 -> 3株,,,,,
1852,6240,ヤマシンフィルタ(株),2015-03-17,分割: 1株 -> 3株,,,,,
1853,6240,ヤマシンフィルタ(株),2015-08-27,分割: 1株 -> 2株,,,,,
1854,6250,(株)やまびこ,2015-09-28,分割: 1株 -> 4株,,,,,
1855,6255,(株)エヌ・ピー・シー,2007-08-28,分割: 1株 -> 4株,,,,,
1856,6255,(株)エヌ・ピー・シー,2009-08-26,分割: 1株 -> 2株,,,,,
1857,6256,(株)ニューフレアテクノロジー,2013-09-26,分割: 1株 -> 100株,,,,,
1858,6257,(株)藤商事,2013-09-26,分割: 1株 -> 100株,,,,,
1859,6264,(株)マルマエ,2007-11-27,分割: 1株 -> 2株,,,,,
1860,6264,(株)マルマエ,2014-02-26,分割: 1株 -> 100株,,,,,
1861,6264,(株)マルマエ,2015-08-27,分割: 1株 -> 3株,,,,,
1862,6264,(株)マルマエ,2017-02-24,分割: 1株 -> 2株,,,,,
1863,6265,(株)妙徳,2005-03-28,分割: 1株 -> 2株,,,,,
1864,6266,タツモ(株),2016-12-28,分割: 1株 -> 3株,,,,,
1865,6267,ゼネラルパッカー(株),2007-01-26,分割: 1株 -> 2株,,,,,
1866,6267,ゼネラルパッカー(株),2016-01-27,分割: 1株 -> 0.2株,,,,,
1867,6277,ホソカワミクロン(株),2017-03-29,分割: 1株 -> 0.2株,,,,,
1868,6278,ユニオンツール(株),2000-11-27,分割: 1株 -> 1.1株,,,,,
1869,6282,オイレス工業(株),2005-09-27,分割: 1株 -> 1.2株,,,,,
